,label,amesTestPositive,cytogen_ca,cytogen_sce,isMutagenic,salmonella,salmonella_n,drosophila_rt,drosophila_slrl,mouse_lymph,chromaberr,chromex,micronuc_f,micronuc_m,salmonella_reduc
http://dl-learner.org/carcinogenesis#d1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,,,,,
http://dl-learner.org/carcinogenesis#d10,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,,,,,
http://dl-learner.org/carcinogenesis#d100,1.0,0.0,0.0,1.0,0.0,0.0,,0.0,1.0,1.0,,,,,
http://dl-learner.org/carcinogenesis#d101,1.0,0.0,0.0,1.0,1.0,0.0,,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d102,1.0,0.0,0.0,1.0,0.0,0.0,,,,1.0,0.0,,,,
http://dl-learner.org/carcinogenesis#d103,1.0,0.0,0.0,1.0,0.0,0.0,,,,0.0,1.0,,,,
http://dl-learner.org/carcinogenesis#d104,1.0,0.0,0.0,1.0,1.0,0.0,,,,0.0,,,,,
http://dl-learner.org/carcinogenesis#d105,1.0,0.0,0.0,1.0,0.0,0.0,,,,1.0,0.0,,,,
http://dl-learner.org/carcinogenesis#d106,1.0,0.0,,,1.0,0.0,,,,,,,,,
http://dl-learner.org/carcinogenesis#d107,1.0,0.0,,,1.0,,,,,,,,,,
http://dl-learner.org/carcinogenesis#d108,1.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d109,1.0,0.0,1.0,1.0,0.0,0.0,,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d11,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d110,0.0,0.0,0.0,1.0,0.0,0.0,,,,1.0,,0.0,,,
http://dl-learner.org/carcinogenesis#d111,0.0,0.0,,,0.0,0.0,,,,,,,,,
http://dl-learner.org/carcinogenesis#d112,0.0,0.0,0.0,1.0,1.0,0.0,,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d113,0.0,1.0,0.0,1.0,1.0,1.0,,,,,,,,,
http://dl-learner.org/carcinogenesis#d114,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,
http://dl-learner.org/carcinogenesis#d115,0.0,0.0,1.0,1.0,0.0,0.0,,,,0.0,1.0,1.0,,,
http://dl-learner.org/carcinogenesis#d116,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
http://dl-learner.org/carcinogenesis#d117,0.0,0.0,0.0,1.0,1.0,0.0,,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d118,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d119,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,
http://dl-learner.org/carcinogenesis#d12,1.0,1.0,1.0,1.0,0.0,1.0,,,,,,,0.0,0.0,
http://dl-learner.org/carcinogenesis#d120,0.0,0.0,0.0,1.0,0.0,0.0,,,,1.0,0.0,0.0,0.0,0.0,
http://dl-learner.org/carcinogenesis#d121,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,,,,,
http://dl-learner.org/carcinogenesis#d122,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d123,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,
http://dl-learner.org/carcinogenesis#d124,0.0,0.0,0.0,1.0,0.0,0.0,,,,0.0,,,,,
http://dl-learner.org/carcinogenesis#d125,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,
http://dl-learner.org/carcinogenesis#d126,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,
http://dl-learner.org/carcinogenesis#d127,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0,,,,,
http://dl-learner.org/carcinogenesis#d128,0.0,1.0,0.0,1.0,1.0,1.0,,,,,,,,,
http://dl-learner.org/carcinogenesis#d129,0.0,0.0,,,0.0,0.0,,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d13,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,1.0,1.0,1.0,,,,
http://dl-learner.org/carcinogenesis#d130,0.0,0.0,1.0,1.0,0.0,,,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d131,0.0,0.0,,1.0,0.0,0.0,0.0,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d132,0.0,0.0,1.0,1.0,0.0,0.0,,,,0.0,,,,,
http://dl-learner.org/carcinogenesis#d133,0.0,0.0,0.0,1.0,0.0,0.0,,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d134,1.0,0.0,0.0,1.0,0.0,0.0,,,,0.0,,1.0,,,
http://dl-learner.org/carcinogenesis#d135,1.0,0.0,1.0,0.0,1.0,0.0,,,,0.0,,,,,
http://dl-learner.org/carcinogenesis#d136,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
http://dl-learner.org/carcinogenesis#d137,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,1.0,0.0,,,
http://dl-learner.org/carcinogenesis#d138,1.0,0.0,1.0,1.0,0.0,0.0,,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d139,1.0,0.0,0.0,1.0,1.0,0.0,,,,0.0,0.0,,,,
http://dl-learner.org/carcinogenesis#d14,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,,,,,
http://dl-learner.org/carcinogenesis#d140,1.0,0.0,1.0,1.0,1.0,0.0,,,,0.0,,,,,
http://dl-learner.org/carcinogenesis#d141,1.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,0.0,0.0,0.0,0.0,
http://dl-learner.org/carcinogenesis#d142,1.0,0.0,1.0,,0.0,,,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d143,1.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,,,,,
http://dl-learner.org/carcinogenesis#d144,1.0,0.0,1.0,,1.0,0.0,,,,0.0,0.0,0.0,,,
http://dl-learner.org/carcinogenesis#d145,1.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,1.0,1.0,,,
http://dl-learner.org/carcinogenesis#d146,1.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d147,1.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,0.0,,,,
http://dl-learner.org/carcinogenesis#d148,1.0,0.0,1.0,0.0,0.0,0.0,,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d149,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,,,,
http://dl-learner.org/carcinogenesis#d15,1.0,1.0,1.0,1.0,0.0,1.0,,0.0,1.0,1.0,,,,,
http://dl-learner.org/carcinogenesis#d150,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,
http://dl-learner.org/carcinogenesis#d151,0.0,0.0,1.0,1.0,0.0,0.0,,,,1.0,1.0,,,,
http://dl-learner.org/carcinogenesis#d152,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,,,,,
http://dl-learner.org/carcinogenesis#d153,0.0,0.0,0.0,1.0,1.0,0.0,,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d154,0.0,0.0,,,1.0,,,,,,,,,,
http://dl-learner.org/carcinogenesis#d155,0.0,0.0,0.0,,1.0,0.0,,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d156,0.0,0.0,0.0,,1.0,0.0,,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d157,0.0,0.0,1.0,0.0,0.0,0.0,,,,0.0,,,,,
http://dl-learner.org/carcinogenesis#d158,0.0,0.0,0.0,1.0,0.0,0.0,,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d159,0.0,0.0,0.0,,1.0,0.0,0.0,,,0.0,,,,,
http://dl-learner.org/carcinogenesis#d16,1.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,,
http://dl-learner.org/carcinogenesis#d160,0.0,0.0,0.0,1.0,1.0,1.0,,,,,1.0,1.0,,,
http://dl-learner.org/carcinogenesis#d161,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d162,0.0,0.0,,,0.0,,,,,,,,,,
http://dl-learner.org/carcinogenesis#d163,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,0.0,,,,,
http://dl-learner.org/carcinogenesis#d164,0.0,0.0,,,1.0,,,,,,,,,,
http://dl-learner.org/carcinogenesis#d165,0.0,0.0,0.0,,0.0,0.0,,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d166,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,,,,,
http://dl-learner.org/carcinogenesis#d167,0.0,0.0,,1.0,0.0,0.0,,,,0.0,,,,,
http://dl-learner.org/carcinogenesis#d168,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,,,,,
http://dl-learner.org/carcinogenesis#d169,0.0,0.0,1.0,1.0,0.0,0.0,,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d17,1.0,1.0,1.0,1.0,0.0,1.0,1.0,,,,,,,,
http://dl-learner.org/carcinogenesis#d170,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d171,0.0,1.0,0.0,0.0,1.0,,,,,0.0,,,,,
http://dl-learner.org/carcinogenesis#d172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d173,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d174,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,,,,,
http://dl-learner.org/carcinogenesis#d175,0.0,0.0,,,0.0,,,,,,,,,,
http://dl-learner.org/carcinogenesis#d176,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,,,,,
http://dl-learner.org/carcinogenesis#d177,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d178,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,
http://dl-learner.org/carcinogenesis#d179,0.0,0.0,0.0,1.0,1.0,0.0,,,,0.0,,,,,
http://dl-learner.org/carcinogenesis#d18,1.0,1.0,0.0,1.0,1.0,1.0,,,,,,,,,
http://dl-learner.org/carcinogenesis#d180,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,
http://dl-learner.org/carcinogenesis#d181,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,
http://dl-learner.org/carcinogenesis#d182,0.0,0.0,0.0,,1.0,0.0,,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d183,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,
http://dl-learner.org/carcinogenesis#d184,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
http://dl-learner.org/carcinogenesis#d185,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,
http://dl-learner.org/carcinogenesis#d186,0.0,0.0,0.0,0.0,1.0,0.0,,,,,,,,,
http://dl-learner.org/carcinogenesis#d187,0.0,0.0,0.0,1.0,1.0,0.0,,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d188,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d189,0.0,0.0,,,1.0,,,,,,,,,,
http://dl-learner.org/carcinogenesis#d19,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
http://dl-learner.org/carcinogenesis#d190,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
http://dl-learner.org/carcinogenesis#d191,1.0,0.0,1.0,1.0,1.0,0.0,,,,1.0,0.0,,,,
http://dl-learner.org/carcinogenesis#d192,1.0,0.0,0.0,0.0,1.0,0.0,0.0,,,1.0,0.0,,,,
http://dl-learner.org/carcinogenesis#d193,1.0,0.0,0.0,1.0,1.0,0.0,,,,0.0,,,,,
http://dl-learner.org/carcinogenesis#d194,0.0,1.0,,,0.0,,,,,,,,,,
http://dl-learner.org/carcinogenesis#d195,1.0,0.0,0.0,1.0,1.0,0.0,,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d196,1.0,0.0,1.0,1.0,0.0,,,0.0,1.0,1.0,0.0,,,,
http://dl-learner.org/carcinogenesis#d197,1.0,0.0,1.0,0.0,1.0,0.0,,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d198,1.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d199,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d2,1.0,1.0,0.0,1.0,1.0,1.0,,,,,,,,,
http://dl-learner.org/carcinogenesis#d20,1.0,1.0,0.0,1.0,0.0,1.0,,,,,,,,,
http://dl-learner.org/carcinogenesis#d200,1.0,0.0,0.0,1.0,0.0,0.0,,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d201,1.0,0.0,0.0,1.0,1.0,0.0,,,,,,,,,
http://dl-learner.org/carcinogenesis#d202,1.0,0.0,0.0,1.0,1.0,0.0,,,,1.0,0.0,0.0,,,
http://dl-learner.org/carcinogenesis#d203,1.0,0.0,0.0,,0.0,0.0,,,,0.0,,1.0,,,
http://dl-learner.org/carcinogenesis#d204,1.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d205,1.0,1.0,1.0,0.0,1.0,1.0,,0.0,1.0,1.0,0.0,,,,
http://dl-learner.org/carcinogenesis#d206,1.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,,,,,
http://dl-learner.org/carcinogenesis#d207,0.0,0.0,1.0,1.0,1.0,0.0,,,,1.0,1.0,1.0,,,
http://dl-learner.org/carcinogenesis#d208_1,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,
http://dl-learner.org/carcinogenesis#d208_2,0.0,0.0,,0.0,0.0,0.0,,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d209,0.0,0.0,1.0,1.0,0.0,0.0,,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d21,1.0,1.0,0.0,0.0,0.0,,1.0,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d210,0.0,0.0,,,0.0,,,,,,,,,,
http://dl-learner.org/carcinogenesis#d211,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d212,0.0,0.0,0.0,,0.0,0.0,,,,0.0,,1.0,,,
http://dl-learner.org/carcinogenesis#d213,0.0,0.0,1.0,1.0,0.0,0.0,,,,1.0,,1.0,,,
http://dl-learner.org/carcinogenesis#d214,0.0,0.0,0.0,1.0,1.0,0.0,0.0,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d215,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d216,0.0,1.0,0.0,0.0,1.0,1.0,,,,,,,,,
http://dl-learner.org/carcinogenesis#d217,0.0,0.0,0.0,1.0,0.0,0.0,0.0,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d218,0.0,0.0,0.0,0.0,0.0,0.0,,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d219,0.0,0.0,1.0,0.0,0.0,0.0,,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d22,1.0,1.0,1.0,1.0,0.0,1.0,,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d220,0.0,0.0,,,0.0,,,,,,,,,,
http://dl-learner.org/carcinogenesis#d221,0.0,0.0,0.0,,0.0,0.0,,,,1.0,0.0,,,,
http://dl-learner.org/carcinogenesis#d222,0.0,0.0,,,0.0,,,,,,,,,,
http://dl-learner.org/carcinogenesis#d223,0.0,0.0,,,0.0,,,,,,,,,,
http://dl-learner.org/carcinogenesis#d224,0.0,0.0,0.0,0.0,1.0,0.0,,,,0.0,,,,,
http://dl-learner.org/carcinogenesis#d225,0.0,0.0,0.0,1.0,1.0,0.0,,,,1.0,1.0,0.0,,,
http://dl-learner.org/carcinogenesis#d226,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,,,,,
http://dl-learner.org/carcinogenesis#d227,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,0.0,,,,
http://dl-learner.org/carcinogenesis#d228,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,
http://dl-learner.org/carcinogenesis#d229,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,0.0,0.0,
http://dl-learner.org/carcinogenesis#d230,1.0,1.0,0.0,1.0,0.0,1.0,,0.0,1.0,1.0,1.0,,,,
http://dl-learner.org/carcinogenesis#d231,1.0,0.0,,,1.0,0.0,,,,0.0,,,,,
http://dl-learner.org/carcinogenesis#d232,1.0,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,1.0,1.0,,,,
http://dl-learner.org/carcinogenesis#d233,1.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,
http://dl-learner.org/carcinogenesis#d234,1.0,1.0,1.0,1.0,0.0,1.0,,,,,,,,,
http://dl-learner.org/carcinogenesis#d235,1.0,1.0,,,1.0,,1.0,,,,,,,,
http://dl-learner.org/carcinogenesis#d236,1.0,1.0,1.0,1.0,0.0,1.0,,0.0,1.0,1.0,1.0,1.0,,,
http://dl-learner.org/carcinogenesis#d237,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,0.0,0.0,,,
http://dl-learner.org/carcinogenesis#d238,1.0,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,1.0,1.0,1.0,,,
http://dl-learner.org/carcinogenesis#d239,1.0,1.0,0.0,1.0,1.0,0.0,,,,,,,,,
http://dl-learner.org/carcinogenesis#d23_1,1.0,1.0,1.0,1.0,0.0,1.0,,,,1.0,1.0,0.0,,,
http://dl-learner.org/carcinogenesis#d23_2,1.0,1.0,1.0,1.0,0.0,,,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d24,1.0,1.0,,,0.0,,,,,,,,,,
http://dl-learner.org/carcinogenesis#d240,1.0,1.0,1.0,1.0,0.0,1.0,,1.0,1.0,1.0,,,,,
http://dl-learner.org/carcinogenesis#d241,1.0,1.0,1.0,1.0,0.0,1.0,,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d242,1.0,1.0,1.0,1.0,1.0,1.0,,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d243,1.0,1.0,1.0,1.0,0.0,1.0,,,,1.0,0.0,0.0,,,
http://dl-learner.org/carcinogenesis#d244,1.0,1.0,1.0,1.0,0.0,1.0,,,,1.0,,,,,
http://dl-learner.org/carcinogenesis#d245,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,,,,,
http://dl-learner.org/carcinogenesis#d246,1.0,0.0,,,1.0,,,,,,,,,,
http://dl-learner.org/carcinogenesis#d247,1.0,0.0,1.0,1.0,0.0,0.0,,0.0,1.0,1.0,,,,,
